date,tweet_text,sentiment,category,likes,retweets,location
2020-03-15,"Feeling anxious about the lockdown. Everything feels uncertain #COVID19 #mentalhealth",negative,anxiety,45,12,USA
2020-03-18,"Taking care of my mental health during these tough times. Remember to breathe and stay positive",positive,wellness,234,67,UK
2020-03-22,"Depression hitting hard today. Can't seem to get out of bed #lockdown #depression",negative,depression,89,23,Canada
2020-04-01,"Started meditation and it's really helping with my anxiety. Highly recommend! #selfcare",positive,wellness,456,123,USA
2020-04-10,"Feeling isolated and alone. Miss seeing my friends and family #socialdistancing #lonely",negative,loneliness,178,45,Australia
2020-04-15,"Therapy sessions online are working well for me. So grateful for technology #mentalhealth",positive,therapy,312,89,UK
2020-05-03,"Pandemic anxiety is real. Heart racing, can't focus on anything #anxiety #COVID19",negative,anxiety,267,71,USA
2020-05-12,"Finding joy in small things. Morning walks are keeping me sane #wellness #positivity",positive,wellness,534,142,Canada
2020-05-20,"Struggling with panic attacks more frequently now. This is exhausting #panicattack",negative,anxiety,145,38,USA
2020-06-01,"Started keeping a gratitude journal. It's helping me stay grounded #mentalhealth #selfcare",positive,wellness,423,112,UK
2020-06-15,"The uncertainty is overwhelming. When will this end? #COVID19 #stress",negative,stress,298,76,Australia
2020-06-28,"Video calls with therapist are a lifesaver. Don't hesitate to seek help #therapy",positive,therapy,389,98,USA
2020-07-05,"Feeling hopeless today. Everything seems pointless #depression #mentalhealth",negative,depression,156,42,Canada
2020-07-18,"Exercise has become my therapy. Running helps clear my mind #fitness #mentalwellness",positive,wellness,612,167,USA
2020-07-25,"Can't sleep at night, anxiety keeps me awake. Exhausted during the day #insomnia #anxiety",negative,anxiety,223,59,UK
2020-08-02,"Started painting during lockdown. Art therapy is amazing for mental health #creativity",positive,wellness,445,118,Australia
2020-08-14,"Missing human connection. Zoom fatigue is real #isolation #lonely",negative,loneliness,334,87,USA
2020-08-29,"Meditation app subscription was the best decision. Feeling more centered #mindfulness",positive,wellness,578,153,UK
2020-09-10,"Seasonal depression plus pandemic stress. Double trouble #depression #SAD",negative,depression,201,54,Canada
2020-09-22,"Support groups online have been incredible. We're all in this together #support #mentalhealth",positive,support,467,124,USA
2020-10-05,"Worrying about everything constantly. Can't turn my brain off #anxiety #worry",negative,anxiety,289,75,UK
2020-10-18,"Therapist taught me great coping strategies. Feeling more in control #therapy #progress",positive,therapy,523,139,USA
2020-11-01,"The second lockdown announcement broke me. Back to square one #lockdown #despair",negative,depression,412,109,UK
2020-11-15,"Grateful for my support system. Friends checking in means everything #gratitude",positive,support,634,168,Australia
